1.000,0.000,0.000,0.500,0.250,0.087,0.364,0.182,0.333,0
1.000,0.000,0.000,0.000,0.500,0.000,0.800,0.667,1.000,0
1.000,1.000,0.000,0.000,1.000,0.400,1.000,0.000,1.000,0
1.000,1.000,0.000,0.000,1.000,0.400,1.000,0.000,1.000,0
1.000,0.000,0.000,0.667,0.000,0.667,1.000,1.000,1.000,0
0.000,1.000,0.000,0.400,0.333,0.138,0.444,0.200,0.250,0
0.043,1.000,0.000,0.182,0.143,0.034,0.075,0.048,0.044,0
1.000,0.000,0.000,0.667,0.000,0.667,1.000,1.000,1.000,0
1.000,1.000,0.000,0.000,1.000,0.000,0.667,0.000,0.000,0
0.000,0.000,0.000,0.000,0.154,0.021,0.111,0.051,0.074,0
0.000,0.000,0.000,0.105,0.083,0.012,0.049,0.027,0.031,0
0.000,0.000,0.000,0.500,0.400,0.000,0.286,0.286,0.105,0
0.000,0.000,0.000,0.222,0.111,0.041,0.087,0.050,0.074,0
0.000,0.000,0.000,0.500,0.500,0.000,0.400,0.286,0.200,0
0.000,0.000,0.000,0.333,0.500,0.000,0.286,0.222,0.111,0
0.000,0.000,0.000,0.000,0.000,0.059,0.286,0.154,0.200,0
0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.000,0.000,0
0.000,0.000,0.000,0.250,0.091,0.027,0.071,0.036,0.049,0
0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.667,0.500,0
0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.000,0.000,0
0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.000,0.000,0
0.000,0.000,0.000,0.222,0.105,0.011,0.061,0.041,0.025,0
0.027,1.000,0.000,0.182,0.059,0.000,0.043,0.047,0.024,0
0.000,0.000,0.000,0.000,0.182,0.035,0.211,0.100,0.100,0
0.000,0.000,0.000,0.000,0.333,0.000,0.333,0.500,0.250,0
0.000,0.000,0.000,0.222,0.200,0.043,0.174,0.069,0.105,0
0.000,0.000,0.000,0.286,0.000,0.000,0.267,0.087,0.091,0
0.000,0.000,0.000,0.000,0.000,0.000,0.286,0.286,0.133,0
0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.000,0.000,0
0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.000,0.000,0
0.000,0.000,0.000,0.000,1.000,0.000,0.800,1.000,0.500,0
