0.118,0.000,0.000,0.000,0.000,0.130,0.471,0.250,0.556,0
0.169,0.000,0.000,0.000,0.000,0.107,0.421,0.207,0.455,0
0.830,1.000,0.000,0.000,0.074,0.058,0.131,0.109,0.364,0
0.024,1.000,0.000,0.000,0.000,0.000,0.800,0.800,0.889,0
0.026,1.000,0.000,0.000,0.000,0.000,0.400,0.500,0.000,0
0.025,1.000,0.000,0.000,0.000,0.000,0.400,0.500,0.182,0
0.057,0.000,0.000,0.000,0.222,0.022,0.320,0.182,0.438,0
0.765,0.000,0.000,0.000,0.667,0.947,1.000,1.000,0.900,0
0.000,1.000,0.000,0.000,0.000,0.000,0.667,0.667,0.667,0
0.040,0.000,0.000,0.000,0.000,0.000,0.667,0.800,0.364,0
0.000,1.000,0.000,0.000,0.154,0.016,0.200,0.158,0.286,0
0.000,1.000,0.000,0.000,0.500,0.000,1.000,0.750,0.615,0
1.000,1.000,0.000,0.000,0.667,0.429,0.800,0.000,0.714,0
0.830,1.000,0.000,0.000,0.200,0.209,0.242,0.194,0.514,0
0.765,0.000,0.000,0.000,0.333,0.261,0.727,0.750,0.750,0
0.812,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0
0.586,0.000,0.000,0.000,0.000,0.154,0.364,0.333,0.600,0
0.812,0.000,0.000,0.000,0.000,0.189,0.381,0.333,0.737,0
1.000,0.000,0.000,0.000,0.000,0.222,0.333,0.300,0.720,0
